Refdist,Depth,PTMP,PSAL,Sigma0,Vrel,Vladcp,Vabs
1162.89943777813,115,0.73226904036001,0.0888462156471216,0.101887752349835,0,0,0.105255567746594
1157.89943777813,15,1.95396548590349,0.22500154754052,0.414179296568499,0.0260955108028791,0.106877681916921,0.107169944368854
1157.89943777813,25,1.89829140304519,0.164184942334437,0.371012457511637,0.025082656898503,0.112589049714181,0.129667589302487
1157.89943777813,35,1.80722304948361,0.117953392585091,0.324229301867874,0.0246393961853421,0.114748364520311,0.129022993550058
1157.89943777813,45,1.52573652308759,0.087496265042659,0.260052362277574,0.0225160138015076,0.117294619422738,0.126548989093095
1157.89943777813,55,1.17616723266249,0.0845190027212518,0.195789078776092,0.0186501493812198,0.121798206637282,0.123439881152825
1157.89943777813,65,0.944616764761765,0.0847937019848495,0.154453868722268,0.0142128560275023,0.138621550511787,0.121826981690835
1157.89943777813,75,0.726411994918126,0.0866661764602209,0.114013263526085,0.0101526002548303,0.147011681395872,0.121445788418721
1157.89943777813,85,0.625486230785622,0.0803098335146468,0.0978554803466723,0.00636592744210724,0.132358520492387,0.121770965197088
1157.89943777813,95,0.574865953728014,0.0765857478134125,0.0855533897219967,0.00331834934394564,0.132002863529227,0.122319130990744
1157.89943777813,105,0.576038908017042,0.0729585985721118,0.0847596101617034,0.00132473970711557,0.128772732736376,0.122811462592783
1157.89943777813,115,0.69935145585628,0.0757967863034304,0.097860906818617,0,0,0.144245230372462
1152.89943777813,15,1.90334693829496,0.212603856250087,0.409010134766008,0.0272140474500723,0.140371292506659,0.135870297740324
1152.89943777813,25,1.84166619857022,0.160190801428106,0.3758453095661,0.0267398639972062,0.140777694533039,0.153161774354027
1152.89943777813,35,1.7354032390377,0.109903212435625,0.323853026484309,0.025777734372562,0.139086661900571,0.152351298486556
1152.89943777813,45,1.48000138436313,0.0770640112223032,0.263186964647267,0.0234317242775176,0.144214104300657,0.150327683403705
1152.89943777813,55,1.15642540999305,0.0739615486300008,0.20218375745837,0.0192132395706401,0.145402142611235,0.14820337032223
1152.89943777813,65,0.943550846365809,0.0758441614297837,0.159115736566031,0.0139904148710411,0.162679946625479,0.147590044541841
1152.89943777813,75,0.708663878274586,0.0774531101866047,0.113155934847135,0.00943193922297614,0.172161933682355,0.148436556625071
1152.89943777813,85,0.590128366689657,0.0716068491724285,0.0932592331671557,0.00584548501073396,0.174374927706322,0.149773724216754
1152.89943777813,95,0.529580526217799,0.0679490866224742,0.0800025285941951,0.00329346041919754,0.176900878442767,0.15077441137931
1152.89943777813,105,0.541895574561994,0.0650469585228536,0.0805933925383289,0.00146604814480648,0.174761238718372,0.151536194973971
1152.89943777813,115,0.666433871352551,0.0627473569597391,0.0938340612873989,0,0,0.183234892998331
1147.89943777813,15,1.83713231938148,0.19604761704139,0.398537558981688,0.0275359969161712,0.160234319227909,0.156181838948898
1147.89943777813,25,1.77768392561094,0.154579165828126,0.376394517276691,0.0275048661459631,0.157531566068504,0.168108675536085
1147.89943777813,35,1.66632943098096,0.102986914624328,0.322405573216413,0.0263257593476732,0.153695492736286,0.167331836015669
1147.89943777813,45,1.43642215023533,0.0700111312874421,0.265164218834934,0.023868669399756,0.160554382483425,0.165794278698967
1147.89943777813,55,1.14118279252245,0.0658207827167668,0.207203558716527,0.0194149069310552,0.160866286878854,0.164372315641275
1147.89943777813,65,0.939523153048443,0.0676535565262138,0.162493671796038,0.0136738875432409,0.177840557869482,0.16421899297703
1147.89943777813,75,0.693112464227981,0.0685081674082788,0.112399846380599,0.0087393457155875,0.188085327286573,0.165452130869342
1147.89943777813,85,0.564748221276121,0.0636865169393751,0.0901375380570903,0.00527367309655635,0.199315876947073,0.167046807226873
1147.89943777813,95,0.495424135671687,0.0603575791826288,0.0758675210551514,0.00312545381083515,0.202787182839253,0.168135754051689
1147.89943777813,105,0.511436491267415,0.0584074373398772,0.0768987823222508,0.00151402394705228,0.201062934606639,0.168979305890697
1147.89943777813,115,0.62670547739689,0.0530686300488778,0.0896877132037478,0,0.0151550146058135,0.20452656284911
1142.89943777813,15,1.7399382258943,0.171230987957687,0.377530472589453,0.0262756342832863,0.153022044860726,0.159830145678582
1142.89943777813,25,1.69908783667263,0.145754596999312,0.368434848075983,0.0264976245019768,0.151571815611473,0.166077559746353
1142.89943777813,35,1.60271018321261,0.0983229198692303,0.318830370762028,0.0257012074098269,0.148978061493642,0.165730668890609
1142.89943777813,45,1.39712532738469,0.0696709179795548,0.264842558258949,0.0233546122590583,0.155880505343749,0.164750019749915
1142.89943777813,55,1.13487723428512,0.0624804391983468,0.209492352955694,0.0188986569953393,0.160161841937635,0.1634693684639
1142.89943777813,65,0.929612296652588,0.0609704740787075,0.163321249504304,0.0131704708318429,0.175326929573101,0.162704265369387
1142.89943777813,75,0.681924501137521,0.0600958154884159,0.111844857827305,0.00810250452835205,0.185680820975932,0.162653338939375
1142.89943777813,85,0.559187457050433,0.0573208166800941,0.0899448400931607,0.00459982269106363,0.190338751195028,0.1630068480854
1142.89943777813,95,0.483374063500095,0.0548421275278895,0.0745449141133697,0.00267316338805048,0.190909309895872,0.163460498232012
1142.89943777813,105,0.488295669856721,0.0542948072759593,0.0741409560819205,0.00137660716227208,0.188259459659864,0.164013010074501
1142.89943777813,115,0.573448336738504,0.0500853451035943,0.0853039895520961,0,0.0604134046364087,0.190663576988159
